Wed Sep 09 11:44:27 MSK 2015	Stage	Hero's Welcome review – Alan Ayckbourn surprises us yet again	[Theatre, Alan Ayckbourn, Stage, Culture]
Wed Sep 09 11:42:42 MSK 2015	Music	Ringo Starr focuses on missing Beatles photos at launch of new book	[Ringo Starr, The Beatles, Music, Photography, Culture, UK news, Paul McCartney, Yoko Ono, George Harrison, John Lennon]
Wed Sep 09 11:41:56 MSK 2015	Comment is free	The British must formally – and swiftly – recognise Palestine as a sovereign state | Alon Liel and Ilan Baruch	[Palestinian territories, Israel, Middle East and North Africa, World news, Binyamin Netanyahu, David Cameron, Politics, UK news]
Wed Sep 09 11:38:36 MSK 2015	UK news	Queen becomes longest reigning British monarch	[The Queen, Monarchy, UK news, Scotland]
Wed Sep 09 11:37:54 MSK 2015	Sport	Talking Horses: Wednesday’s best bets plus the latest racing news	[Horse racing tips, Horse racing, Sport]
Wed Sep 09 11:36:54 MSK 2015	Children's books	Pippi Longstocking: a feminist, an optimist and a free thinker	[Children and teenagers, Children's books: 8-12 years, Children's books: 7 and under, Books, Culture]
Wed Sep 09 11:34:21 MSK 2015	Technology	Baidu launches Duer digital assistant to take on Siri, Cortana and Google Now	[Artificial intelligence (AI), Technology, Computing, Android, China, Asia Pacific, World news, Software]
Wed Sep 09 11:31:08 MSK 2015	Media	Bild's stance over Alan Kurdi image a typically bold move	[Newspapers, Axel Springer, Germany, Refugees, Migration, Alan Kurdi, Europe, Media, Newspapers & magazines, World news]
Wed Sep 09 11:15:05 MSK 2015	Comment is free	The US's insistence on weaker encryption puts citizens in harm's way | Trevor Timm	[Encryption, FBI, Apple, WhatsApp]
Wed Sep 09 11:14:48 MSK 2015	Media	BBC snaps up NFL TV rights	[BBC, Media, Sports rights, Sport, NFL, US sports, UK news, Television industry, Sky Sports, Sky plc, Channel 4, BBC2]
Wed Sep 09 11:14:47 MSK 2015	Politics	Queen continues to annoy progressives – but look at the alternatives	[Politics, UK news]
Wed Sep 09 11:12:11 MSK 2015	World news	German punk band set to top charts in wake of refugee arson attacks	[Germany, Music, Punk, Culture, Europe, World news, Race issues, The far right]
Wed Sep 09 11:09:45 MSK 2015	Music	Robert Forster – Songs To Play: Exclusive album stream	[Pop and rock, Culture, The Go-Betweens, Music]
Wed Sep 09 11:09:03 MSK 2015	Guardian Sustainable Business	Three reasons why businesses win by providing clean water, taps and toilets	[Guardian sustainable business, Access to water, Water, Corporate social responsibility, Sanitation, Sustainable development, Environment, Global development, Business, Society, Nestlé]
Wed Sep 09 11:05:56 MSK 2015	Community	Outlandishly decorated cakes: your GuardianWitness contributions	[]
Wed Sep 09 11:02:43 MSK 2015	Membership	Share your experiences of pop-up restaurants	[Membership]
Wed Sep 09 11:00:12 MSK 2015	Technology	Decision in Microsoft case could set dangerous global precedent, experts say	[Microsoft, Surveillance, Computing, Technology, World news]
Wed Sep 09 11:00:10 MSK 2015	US news	Can Hillary Clinton avoid the fate of Mitt Romney? Five ways to recapture her cool	[Hillary Clinton, US politics, Mitt Romney, US news]
Wed Sep 09 11:00:08 MSK 2015	Children's books	Paper Towns by John Green - review	[Children and teenagers, Books, Culture, Teen books, Friendship (children and teens), Teen romance (childrens and teens), John Green]
Wed Sep 09 10:55:35 MSK 2015	Books	Henrietta Lacks biographer Rebecca Skloot responds to US parent over 'porn' allegation	[Books, Banned Books Week, US news, Tennessee, World news, Culture, US education, Education, Biography]
Wed Sep 09 10:55:03 MSK 2015	UK news	Proud tradition or ludicrous anachronism? Share your views on the British royal family	[Monarchy, UK news, The Queen]
Wed Sep 09 10:47:32 MSK 2015	Media	Indian newspapers 'in a sweet spot' with booming sales - and adverts	[Media, India, Newspapers, Advertising, Wall Street Journal, South and Central Asia, Newspapers & magazines]
Wed Sep 09 10:45:05 MSK 2015	Comment is free	Backlogs and bureaucracy are no excuse for the US to fail asylum seekers | Lolita Brayman and George P Mann	[Refugees, Syria, Migration, Middle East and North Africa]
Wed Sep 09 10:40:37 MSK 2015	Cities	Music in your city: share photos and stories	[Cities, Music, Culture]
Wed Sep 09 10:39:35 MSK 2015	Comment is free	The Queen’s self-abnegation is about self-interest, not just duty | Deborah Orr	[The Queen, Monarchy, UK news, British identity and society, Society]
Wed Sep 09 10:38:27 MSK 2015	World news	What's the best bit of the UN? No 5: UNRWA	[United Nations, Aid, Health, Israel, Gaza, Palestinian territories, Global development, Middle East and North Africa, World news]
Wed Sep 09 10:37:59 MSK 2015	World news	What's the best bit of the UN? No 6: Unesco	[United Nations, Unesco, World news, Heritage, Culture]
Wed Sep 09 10:36:33 MSK 2015	Film	Michael Fassbender set to star in Jo Nesbø's The Snowman	[Michael Fassbender, Crime, Film adaptations, Film, Jo Nesbø, Culture, Books, The Girl With the Dragon Tattoo (US), Tinker Tailor Soldier Spy]
Wed Sep 09 10:36:33 MSK 2015	World news	Let Putin be your fitness inspiration hero	[Russia, Vladimir Putin, Instagram, Technology, Europe, World news, Fitness, Life and style, Swimming, Ukraine]
Wed Sep 09 10:33:24 MSK 2015	Business	UK goods exports suffer worst month in nearly five years	[Manufacturing sector, Manufacturing data, Economic growth (GDP), Economic policy, Business, Economics, UK news]
Wed Sep 09 10:30:32 MSK 2015	UK news	Iraq war inquiry: criticised parties fulfil right of reply	[Iraq war inquiry, Iraq, UK news, Middle East and North Africa, World news, Foreign policy, Politics]
Wed Sep 09 10:30:04 MSK 2015	Books	The First Thing You See by Grégoire Delacourt review – the novel Scarlett Johansson tried to ban	[Fiction, Fiction in translation, Books, Culture, Scarlett Johansson, Film]
Wed Sep 09 10:26:21 MSK 2015	Media	Artist who created the Marmaduke strip cartoon dies at 91	[Media, Newspapers, US news, US press and publishing, UK news, Owen Wilson]
Wed Sep 09 10:25:29 MSK 2015	Australia news	Abbott praised for Syrian refugee intake amid calls to spell out military exit strategy	[Australian immigration and asylum, Australia news, Australian politics, Refugees, Syria, Migration, Middle East and North Africa, Tony Abbott, Coalition, Islamic State]
Wed Sep 09 10:22:54 MSK 2015	Football	Champions League and Europa League teams to donate €1 per ticket to refugees	[Champions League, Europa League, Uefa, Michel Platini, Bayern Munich, Porto, Football, Sport]
Wed Sep 09 10:15:57 MSK 2015	Film	Legend review – Tom Hardy lends clout to geezery Krays story	[Legend, Tom Hardy, Film, Culture, Crime]
Wed Sep 09 10:14:31 MSK 2015	Media	Greenpeace hires team of investigative journalists	[Investigative journalism, Media, Greenpeace, Activism, Environment, UK news]
Wed Sep 09 10:13:53 MSK 2015	Business	UK's oil and gas industry braces for further job cuts	[Oil, Gas, Scotland, Business, Commodities, UK news, Energy, Environment]
Wed Sep 09 10:07:56 MSK 2015	Sport	Rugby World Cup preview No5: Uruguay	[Uruguay rugby union team, Rugby World Cup 2015 previews, Rugby World Cup 2015, Rugby World Cup, Rugby union, Sport]
Wed Sep 09 10:07:30 MSK 2015	Comment is free	How al-Shabaab gave Kenyan businesses a boost | Murithi Mutiga	[Kenya, Africa, World news, Al-Shabaab, Somalia]
Wed Sep 09 10:01:50 MSK 2015	Origin Green Ireland partner zone	Bono meets with government ministers at Expo Milan 2015	[Origin Green Ireland partner zone]
Wed Sep 09 10:00:04 MSK 2015	Environment	Europe is parched, in a sign of times to come | John Abraham	[Climate change, Climate change scepticism, Climate change, Environment, Science]
Wed Sep 09 10:00:04 MSK 2015	Music	Snoop Dogg – 10 of the best	[Snoop Dogg, Music, Hip-hop, Pop and rock, Rap, Urban music, Dr Dre, Culture]
Wed Sep 09 10:00:04 MSK 2015	Travel	Mucky strike: what happened when a Florentine gambler defaced the Virgin	[Florence, Italy holidays, Europe, Travel, Weekend breaks, City breaks]
Wed Sep 09 09:42:34 MSK 2015	Best of Birmingham	On track: Birmingham's train and rail network	[Best of Birmingham]
Wed Sep 09 09:42:26 MSK 2015	Best of Birmingham	Sport in Birmingham: beyond ball games	[Best of Birmingham]
Wed Sep 09 09:42:20 MSK 2015	Best of Birmingham	Birmingham: a city of parks and greens	[Best of Birmingham]
Wed Sep 09 09:41:21 MSK 2015	Comment is free	How do we fund the refugee crisis? With a Tobin tax | Andrew Simms	[Refugees, Economic policy, Tax and spending, Politics, World news, UK news, Europe]
Wed Sep 09 09:41:03 MSK 2015	Best of Birmingham	An educated choice: why teachers are moving to Birmingham	[Best of Birmingham]
Wed Sep 09 09:38:28 MSK 2015	Best of Birmingham	Birmingham: Britain's second-largest student city	[Best of Birmingham]
Wed Sep 09 09:38:04 MSK 2015	Best of Birmingham	Birmingham pubs: five of the best	[Best of Birmingham]
Wed Sep 09 09:37:55 MSK 2015	Best of Birmingham	Trading spaces: Birmingham's shop culture	[Best of Birmingham]
Wed Sep 09 09:37:48 MSK 2015	Best of Birmingham	The 10 best things about Birmingham	[Best of Birmingham]
Wed Sep 09 09:35:39 MSK 2015	Best of Birmingham	Where should I live in Birmingham? Find your part of town	[Best of Birmingham]
Wed Sep 09 09:35:31 MSK 2015	Best of Birmingham	Why I relocated to Birmingham: a teacher's tale	[Best of Birmingham]
Wed Sep 09 09:34:47 MSK 2015	Best of Birmingham	What keeps me in Birmingham: a social worker's story	[Best of Birmingham]
Wed Sep 09 09:34:43 MSK 2015	Best of Birmingham	Diversity and dedication: the secret of Birmingham's success	[Best of Birmingham]
Wed Sep 09 09:33:27 MSK 2015	Best of Birmingham	Birmingham's dining renaissance continues – so where to eat?	[Best of Birmingham]
Wed Sep 09 09:32:28 MSK 2015	Best of Birmingham	Back for good: the Brummie who came back to better her career	[Best of Birmingham]
Wed Sep 09 09:29:03 MSK 2015	Books	Voices in the Ocean: A Journey into the Wild and Haunting World of Dolphins by Susan Casey – review	[Science and nature, Books, Culture]
Wed Sep 09 09:27:57 MSK 2015	Law	Syria drone strike: former DPP questions legal justification	[Law, Drones (military), Syria, Islamic State, UK news, David Cameron]
Wed Sep 09 09:26:45 MSK 2015	Music	Glastonbury has next  two years of headliners booked, says Michael Eavis	[Glastonbury 2016, Music, Glastonbury festival, Pop and rock, Culture, Festivals, Music festivals]
Wed Sep 09 09:25:54 MSK 2015	Best of Birmingham	The 10 best family days out in Birmingham	[Best of Birmingham]
Wed Sep 09 09:24:55 MSK 2015	Technology	Astronauts get a 3D-printed whisky glass – but the taste may disappoint	[3D printing, Space, Whisky, Technology, Food & drink, Science]
Wed Sep 09 09:24:08 MSK 2015	Best of Birmingham	The writers' side of Birmingham: literary, lyrical and lively	[Best of Birmingham]
Wed Sep 09 09:23:32 MSK 2015	Music	Peter Garrett says music is the key to making Australia 'planet friendly'	[Music, Pop and rock, Music industry, Culture, Environment, Australian politics, Brisbane, Digital media, Internet]
Wed Sep 09 09:22:11 MSK 2015	Best of Birmingham	Birmingham's best venues for live music? Here's where to start	[Best of Birmingham]
Wed Sep 09 09:20:36 MSK 2015	Housing Network	Happy homes: share your pictures of Britain's best social housing	[Housing Network, Community building, Tenants, Housing, Communities, Architecture, Society, Art and design, Social housing, Development]
Wed Sep 09 09:19:59 MSK 2015	Media	Simon Cowell's X Factor launch gloom lifted by rise in catchup viewing	[TV ratings, Television industry, Media, The X Factor, Television, Television & radio, Culture, UK news]
Wed Sep 09 09:15:08 MSK 2015	Education	Hack to the future: will a journalism degree help your job prospects?	[Students, Education, Higher education, Journalism education, Journalism, publishing and public relations, Applying to university, Media, Advice for students]
Wed Sep 09 09:15:04 MSK 2015	Football	Which footballers are named after other footballers?	[Football, Sport]
