Fri Sep 18 10:00:05 MSK 2015	Books	Margaret Atwood: we are double-plus unfree	[Society, Books, Culture, Fiction]
Fri Sep 18 09:57:35 MSK 2015	Australia news	Malcolm Turnbull says he'll end stupid, shouty politics – his critics should too	[Australian politics, Malcolm Turnbull, Australia news]
Fri Sep 18 09:56:40 MSK 2015	Technology	Whatever happened to Minority Report's technology predictions?	[Computing, Apple, Google, Alphabet, Technology, Minority Report, Film, Culture]
Fri Sep 18 09:49:10 MSK 2015	Music	Brian Wilson partners with mental health awareness campaign	[Brian Wilson, Music, Culture, Pop and rock, Beach Boys, Mental health, Health, Society, US healthcare, US news, World news]
Fri Sep 18 09:42:27 MSK 2015	Media	Eastbourne weekly newspaper to switch from tabloid to broadsheet	[Media, Regional & local newspapers, Newsquest, Gannett, Johnston Press, Newspapers, Newspapers & magazines, Media business, Brighton, UK news, Advertising]
Fri Sep 18 09:37:55 MSK 2015	Global Development Professionals Network	Urban farmers around the world – in pictures	[Improving nutrition and food security - global development professionals network, Global development professionals network, Farming, Agriculture, Nutrition and development, India, Syria, Kenya]
Fri Sep 18 09:36:33 MSK 2015	Film	Septembers of Shiraz review – who can overact the most, Salma Hayek or Adrien Brody?	[Toronto film festival 2015, World cinema, Film, Culture, Adrien Brody, Salma Hayek, Toronto film festival, Festivals]
Fri Sep 18 09:34:14 MSK 2015	Environment	World court should rule on climate science to quash sceptics, says Philippe Sands	[Climate change scepticism, Climate change, Climate change, Environment, Science, Law, International court of justice]
Fri Sep 18 09:33:25 MSK 2015	Music	Lana Del Rey: Honeymoon review – self-indulgent but sophisticated third album	[Lana Del Rey, Pop and rock, Music, Culture]
Fri Sep 18 09:31:49 MSK 2015	Television & radio	Jenna Coleman confirms Doctor Who exit: 'It was emotional!'	[Doctor Who, Jenna-Louise Coleman, Fantasy, Television, Culture, Television & radio]
Fri Sep 18 09:30:59 MSK 2015	Life and style	Kelly Holmes: 'Everyone has their bad day. But what do you want to get out of it?'	[Running, Fitness, Life and style]
Fri Sep 18 09:30:17 MSK 2015	GNM press office	New appointments to The Scott Trust Ltd	[Press releases, Press releases 2015]
Fri Sep 18 09:25:55 MSK 2015	Sport	Rugby World Cup 2015 power rankings: New Zealand on top at kick-off | Gerard Meagher	[Rugby World Cup 2015, New Zealand rugby union team, Australia rugby union team, England rugby union team, South Africa rugby team, France rugby union team, Wales rugby union team, Fiji rugby union team, Uruguay rugby union team, Samoa rugby union team, Japan rugby union team, Scotland rugby union team, USA rugby union team, Argentina rugby union team, Tonga rugby union team, Georgia rugby union team, Namibia rugby union team, Ireland rugby union team, Italy rugby union team, Canada rugby union team, Romania rugby union team, Rugby World Cup, Rugby union, Sport, Australia sport, US sports]
Fri Sep 18 09:25:09 MSK 2015	Business	'Mining debate caught between anti-coal and climate denial' – BHP coal boss	[BHP Billiton, Coal, Business, Energy, Environment, Fossil fuels, Mining, Australia news, Queensland, Renewable energy, Climate change, Activism]
Fri Sep 18 09:23:47 MSK 2015	Social Care Network - Skills for Care partner zone	New quality mark recognises outstanding social care learning providers	[Social Care Network - Skills for Care partner zone]
Fri Sep 18 09:09:15 MSK 2015	Politics	Darling urges Corbyn to outline economic policy	[Jeremy Corbyn, Alistair Darling, Labour, Politics, UK news]
Fri Sep 18 09:02:47 MSK 2015	Children's books	Top 10 reasons to go comic book crazy!	[Children and teenagers, Children's books: 8-12 years, Teen books, Children's books: 7 and under, Books, Culture, Comics and graphic novels (children and teens)]
Fri Sep 18 09:02:07 MSK 2015	Sport	Georgia scrum-half Vasil Lobzhanidze to be Rugby World Cup’s youngest player	[Georgia rugby union team, Rugby World Cup 2015, Rugby union, Sport]
Fri Sep 18 09:00:52 MSK 2015	Environment	Drilling for Arctic oil is not viable yet, says IEA chief	[Oil, Arctic, Polar regions, Fossil fuels, Energy, Environment, Climate change, Royal Dutch Shell, Oil, Business, World news]
Fri Sep 18 09:00:05 MSK 2015	UK news	Scotland's Rise alliance ready to challenge SNP in Holyrood	[Scotland, UK news, Scottish National party (SNP), Politics, Nicola Sturgeon, Labour]
Fri Sep 18 08:48:52 MSK 2015	Australia news	Canning byelection: new PM and old defence policy hog final campaign day	[Canning byelection 2015, Australian politics, Western Australia, Labor party, Coalition, Australian defence force, Methamphetamine (crystal meth)]
Fri Sep 18 08:47:13 MSK 2015	Media	Press freedom group warns that 2015 will be deadliest year for media	[Media, Journalist safety, Press freedom, World news, Islamic State, Iraq, Middle East and North Africa, Human rights]
Fri Sep 18 08:46:33 MSK 2015	Business	FTSE falters after Fed but gold shines as dollar falls	[Business, Stock markets, Randgold Resources, Fresnillo, Glencore, Rio Tinto, Anglo American, Ferrexpo, AstraZeneca, National Grid, United Utilities]
Fri Sep 18 08:45:10 MSK 2015	Film	Producers hit back after London Fields pulled from Toronto film festival	[Toronto film festival 2015, Film, Culture, Johnny Depp, Martin Amis, Billy Bob Thornton, Adaptation, Drama]
Fri Sep 18 08:34:58 MSK 2015	Media	Alex Salmond reignites row with Nick Robinson over ‘bias’	[BBC, Nick Robinson, Media, Scottish National party (SNP), Politics, UK news, Alex Salmond, Scottish independence, Scotland, Scottish politics]
Fri Sep 18 08:34:05 MSK 2015	Football	FA investigates José Mourinho over language in Eva Carneiro incident	[José Mourinho, Chelsea, The FA, Football, Sport]
Fri Sep 18 08:33:28 MSK 2015	Technology	American Airlines forced to ground US flights after computer glitch	[Technology, Airline industry, Data and computer security, Business]
Fri Sep 18 08:32:11 MSK 2015	US news	Trump's Rochester rally: furor over anti-Muslim bigotry and a shot at the pope	[Donald Trump, US news, US elections 2016, Republicans, Carly Fiorina, Climate change, Pope Francis, Catholicism, Christianity, Environment, Religion, The papacy, World news]
Fri Sep 18 08:30:04 MSK 2015	Media Network	Effective PR requires us to burst clients' bubbles	[Media & Tech Network, Marketing & PR, Media]
Fri Sep 18 08:30:00 MSK 2015	Football	You are the Ref No340: Wayne Rooney	[Laws of football, Wayne Rooney, Manchester United, Football, Sport]
