Sun Sep 27 20:30:10 MSK 2015	Science	The October night sky	[Astronomy, Space, Science]
Sun Sep 27 20:30:10 MSK 2015	Sport	AFL preliminary finals: five things we learned | Kathryn Kernohan	[AFL, Fremantle Dockers, West Coast Eagles, North Melbourne, Hawthorn, Australian rules football, Australia sport, Sport]
Sun Sep 27 20:27:55 MSK 2015	World news	Pope Francis's message to sex abuse survivors:  ‘I am deeply sorry'	[Pope Francis, Catholicism, Christianity, Religion, The papacy, US news, Philadelphia, Pennsylvania]
Sun Sep 27 20:00:09 MSK 2015	News	Corrections and clarifications	[]
Sun Sep 27 19:22:05 MSK 2015	World news	UN general assembly: what to watch for, from Massive Monday onward	[United Nations, Barack Obama, Vladimir Putin, Russia, Islamic State, Raúl Castro, Europe, US news, World news, Cuba, Palestinian territories, France, Americas, Middle East and North Africa]
Sun Sep 27 19:07:00 MSK 2015	Sport	South Africa captain Jean de Villiers retires after breaking jaw	[South Africa rugby team, Rugby World Cup 2015, Rugby union, Rugby World Cup, Sport]
Sun Sep 27 19:06:37 MSK 2015	Comment is free	The Guardian view on the hajj deaths: a test for the regime | Editorial	[Saudi Arabia, Middle East and North Africa, World news, Yemen, Hajj, Religion, Islam, Iran, Hassan Rouhani, King Salman]
Sun Sep 27 19:05:53 MSK 2015	Comment is free	The Guardian view on housing policy: Britain must face home truths | Editorial	[Housing, Communities, Society, Social housing, UK news, David Cameron, Politics, Conservatives, Tim Farron, Liberal Democrats, Labour conference, Labour, John McDonnell, Jeremy Corbyn, Local politics, Local government, Homelessness, Social exclusion]
Sun Sep 27 19:05:11 MSK 2015	Sport	England’s Chris Robshaw takes blame but Stuart Lancaster also culpable | Andy Bull	[Rugby World Cup 2015, Stuart Lancaster, England rugby union team, Rugby union, Rugby World Cup, Sport]
Sun Sep 27 19:04:48 MSK 2015	Law	The right way to tackle gender inequality in the legal profession | Letters	[Law, Gender, World news, Jonathan Sumption, UK supreme court, UK news, Women, Life and style, Barristers, Judiciary]
Sun Sep 27 19:04:33 MSK 2015	UK news	Counter-extremism law and liberal values | Letters	[UK security and counter-terrorism, UK news, Counter-terrorism policy, Politics, 7 July London attacks, Islam, Religion, World news, Charlie Hebdo attack, Freedom of speech]
Sun Sep 27 19:04:21 MSK 2015	Television & radio	Founding father of The Archers | Letters	[The Archers, Radio, UK news, BBC, Media, Radio 4, Radio industry]
Sun Sep 27 19:04:05 MSK 2015	World news	Pope exposes paradox of pro-life politicians | Letters	[Pope Francis, Religion, Catholicism, Christianity, The papacy, World news, Abortion, Health, Women, Capital punishment, US news, Syria, Middle East and North Africa, Foreign policy, Politics, UK news, Military, Fashion, Life and style, Gucci]
Sun Sep 27 19:03:56 MSK 2015	World news	Catalan separatists predicted to win absolute majority in regional elections	[Catalonia, Spain, Europe, World news]
Sun Sep 27 19:03:35 MSK 2015	Sport	John Gosden likely to run Golden Horn in Arc with dry week forecast	[Golden Horn, John Gosden, Prix de l'Arc de Triomphe, Sport, Horse racing]
Sun Sep 27 19:00:08 MSK 2015	Politics	Labour calls for Syria safe havens and attacks David Cameron over UN trip	[Labour conference, Labour, Hilary Benn, Foreign policy, David Cameron, Syria, United Nations, UK news, Politics]
Sun Sep 27 19:00:08 MSK 2015	Comment is free	The era of cheap labour is over | Paul Mason	[Work & careers, Money, Public sector pay, Public services policy, Society, Pay]
